fid,OBJECTID,COUNTRY,CITIES,FUA_OR_CIT,CODE2012,ITEM2012,PROD_DATE,IDENT,AREA,Pop2012,fid_2,cat,value
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",168738,486723,5
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",168809,485147,6
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",168769,488007,7
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",168788,486987,4
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",168767,488009,7
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",168793,489217,6
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",168772,488012,7
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",168771,488492,4
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",168785,487490,6
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",168791,488733,6
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",168841,488986,6
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",168842,489221,5
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",246991,488017,5
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",168942,486989,6
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",168946,486991,6
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",168931,488266,6
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",168872,492072,9
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",168849,492718,7
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",168867,492719,5
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",169131,491003,11
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",169139,490570,9
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",169000,490140,15
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",169022,493651,4
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",169021,493384,6
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",168860,492493,7
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",168865,493164,6
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",168868,492936,8
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",168869,492721,7
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",169126,491864,9
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",169002,490361,5
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",169027,493872,7
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",169069,493165,10
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",169064,494102,5
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",246528,492722,4
